date,time,watershed,Site.Code,latitude,longitude,centerline_UTMx,centerline_UTMy,valley5m_UTMx,valley5m_UTMy,drainage_area_m2,drainage_area_ha,temp_SW_degC,DO_SW_mgl,DO_SW_perc,DO_SW_press_mbar,NPOC_SW_mgl,TDN_SW_mgl,temp_HZ_degC,DO_HZ_mgl,DO_HZ_perc,DO_HZ_press_mbar,NPOC_HZ_mgl,TDN_HZ_mgl,hydro_cond_1_mps,hydro_cond_2_mps,hydro_cond_3_mps,sed_percent_organic_content
29-Jul-16,15:00,,S_71,44.232415,-122.215301,562662.3388,4897988.742,562662.0179,4897987.865,1017419.8,101.7,15.3,9.53,95.6,948.6,2.628,0,20.6,8.91,99,948.4,2.984,0.02001,1.18E-04,1.47E-04,,3.635559487
28-Jul-16,9:25,Mack Creek,72,44.218746,-122.166941,566542.1674,4896499.808,566542.1429,4896498.399,5682895.5,568.3,13,9.48,90,930.1,2.2,0.02039,13.9,9.45,91.5,930.1,2.235,0.04073,2.02E-04,2.54E-04,2.07E-04,4.318850615
28-Jul-16,11:30,Mack Creek,73,44.221203,-122.169744,566310.1777,4896786.795,566314.191,4896789.782,1369911,137,14,9.38,91,929.2,2.376,0.1127,15.7,9.18,92.4,929.2,2.518,0.09965,1.96E-04,1.54E-04,2.48E-04,3.302418306
27-Jul-16,17:15,,74,44.229409,-122.181978,565310.2219,4897724.754,565308.7929,4897721.242,699729.4,70,13.3,9.17,87.4,941.6,1.848,0,16.4,9.28,94.4,941.6,2.629,0,1.58E-04,1.63E-04,1.66E-04,5.630221576
28-Jul-16,16:00,,S_76,44.22234,-122.117827,570464.9942,4896947.788,570466.5744,4896949.584,3035446.4,303.5,12,9.68,89.8,901.5,3.013,0.04889,14.8,9.57,94.6,901.7,2.301,0.05789,,,,3.476362415
29-Jul-16,13:30,,S_82,44.249077,-122.192656,564452.2597,4899854.66,564450.0409,4899858.661,365970.6,36.6,13.4,9.53,91.6,933.3,1.588,0.1121,19.3,9.28,100.7,933.4,4.541,0.05872,1.65E-05,5.20E-05,8.85E-05,3.497790869
29-Jul-16,9:30,,S_83,44.257193,-122.180952,565376.2189,4900765.62,565376.964,4900764.613,1544470.2,154.4,13.8,9.43,91.1,923.2,1.819,0,15.6,9.25,93.6,923.1,2.158,0,1.26E-04,1.16E-04,2.23E-04,7.743449355
27-Jul-16,17:10,McRae Creek,84,44.264807,-122.175431,566447.1716,4900685.623,566445.0943,4900682.544,6226558.2,622.7,12.8,9.41,88.9,921.4,1.754,0,14.8,9.31,91.8,921.4,0.599,0,3.36E-04,1.36E-04,3.44E-04,4.950322468
30-Jul-16,11:00,,S_155,44.229102,-122.175974,565811.1997,4897652.757,565808.928,4897652.274,811922.4,81.2,13.1,9.76,93.3,938.5,2.021,0.02429,15.7,9.46,95.6,938.2,2.918,0.05262,1.69E-04,1.92E-04,2.55E-04,5.517042172
30-Jul-16,9:30,Bushwack from trail downstream of convergence of two channels out of 3 channels,S_156,44.228028,-122.17211,566141.1852,4897558.761,566143.432,4897559.077,25758800,2575.9,12.5,10.08,94.5,938.1,2.072,0.02506,14.9,10.04,99.8,938,2.378,0,1.92E-04,1.98E-04,1.95E-04,2.811283123
